Rating,Title,Review,Review_Date
4.0,This product it a ok,"The media could not be loaded.
                



 The product it overall ok, good sound quality and best looking. When it comes to my home the product was not charged at all, please do charge them before using it. Nice product in cheap price.👌 Just go for it!",19 October 2022
4.0,Good,"Good (with music) ,worst (phone call) with money value(Rs-799).But bass is not so smooth like any other boat product.some type of bass hit the ear membrane badly when it is in high volume.Again some bass sounds good.Noise problem in phone call.",12 October 2022
4.0,Delivery on time,It's good product,Reviewed in India 🇮🇳 on 25 October 2022
4.0,Good products. Worth buying,Clear sound. No issue in listening music and talking over phone. Serve the purpose.,Reviewed in India 🇮🇳 on 16 October 2022
4.0,Good,Good,Reviewed in India 🇮🇳 on 21 October 2022
4.0,So Nice In Shape.....,I just bought the product and its look so nice with its sound quality & i most likely its tiny shape where it can be easily fit in any pocket and no one knows that u have airdrops take it out and turn it on and say #IAmAboAthead,Reviewed in India 🇮🇳 on 8 October 2022
4.0,Value for money,Great product for the price. Perfect for day to day phone use,Reviewed in India 🇮🇳 on 23 October 2022
4.0,Nice,Nice product.Good product at this price point.But  bad for calling purpose.,Reviewed in India 🇮🇳 on 13 October 2022
4.0,Osm,Super,Reviewed in India 🇮🇳 on 26 October 2022
4.0,Good,Good,Reviewed in India 🇮🇳 on 26 October 2022
4.0,Dont fit properly,The sound and battery life are good ..Only problem is they dont seem to fit properly .There is always a fear that they might drop off,Reviewed in India 🇮🇳 on 15 October 2022
4.0,Good Quality,Liked.But no delivery update was provided,Reviewed in India 🇮🇳 on 19 October 2022
4.0,Excellent,So nice.,Reviewed in India 🇮🇳 on 25 October 2022
4.0,Return policy,"There is not return policy in this product, company or Amazon should add that policy. I want to change this product but i can't now becoz this item is not fiit in my ears.",Reviewed in India 🇮🇳 on 18 October 2022
4.0,Good,Worth it's price,Reviewed in India 🇮🇳 on 26 October 2022
4.0,Value money,,Reviewed in India 🇮🇳 on 26 October 2022
4.0,Nice,A little more improvement in noise cancellation rest all great,Reviewed in India 🇮🇳 on 16 October 2022
4.0,Just okay,Satisfied with the costIt is worthy,Reviewed in India 🇮🇳 on 22 October 2022
4.0,Good for listening music,"Its fit perfectly in ear. Sound quality is average. There is no big bass effect. But if you are a melody lover and loves to listen music or videos in an average sound, then this will be worth your money.",Reviewed in India 🇮🇳 on 5 October 2022
4.0,Bass is low as NO BASS. honestly!!,Very low bass but quality of sound is good. But you are looking for music go for boat141. I had experience both and i like boat141 better than boat121.,Reviewed in India 🇮🇳 on 6 October 2022
4.0,Good Quality & sexy look but But the sound quality is not as desired other good!,"Good Quality & sexy look, but But the sound quality is not as desired other good!",Reviewed in India 🇮🇳 on 6 October 2022
3.0,Not to the quality as expected,Liked on its battery and charge life. Ease on ears.Easy to carry in pockets.Sound and bass also microphone is not as expected on quality. Much of noise is not cancelled at all. Its like my voice is also cancelled.Have to keep in full volume to listen to a normal sound music which is not good.My sister had purchased same headset which had in one percent volume a full good quality sound hence I had bought the same one.But I did not in same quality as my sister had got.I had no choice but to adjust with it.The quality changes when you make up as a brand that is what I had realised.Bit disappointed as music was my most happiness and I was worth to pay anything which is fair price for a headset and to its quality.But not expected enough on it.Thank you!,Reviewed in India 🇮🇳 on 22 August 2022
4.0,Very decent sound,Sound quality is too decent. Iam disappointed by the boat companies sound,Reviewed in India 🇮🇳 on 8 October 2022
4.0,Good product.,,Reviewed in India 🇮🇳 on 15 October 2022
4.0,Product Quality,Good for a short time use,Reviewed in India 🇮🇳 on 12 October 2022
4.0,Ledt earbud is not working,Left side earbud is not working,Reviewed in India 🇮🇳 on 12 October 2022
4.0,Good quality and worthy,Quality of sound,Reviewed in India 🇮🇳 on 25 October 2022
4.0,Nice one,Good for listening music but not in calls .,Reviewed in India 🇮🇳 on 15 October 2022
4.0,Cute and fit 😁 powerful too,Everything is fine! Missing some clarity in sound & material quality is poor.,Reviewed in India 🇮🇳 on 10 October 2022
4.0,About Charging case quality,"I'm not satisfied with.. The charging case quality.. Coz.. When I open it.. It seems like.. A local product but.. All other things are.."" More than sufficient """,Reviewed in India 🇮🇳 on 4 October 2022
4.0,Very good product worth for money,Old smart phone like j7 max u have to update phone then it's all ur's. nice product.,Reviewed in India 🇮🇳 on 8 October 2022
4.0,Super cool,,Reviewed in India 🇮🇳 on 16 October 2022
4.0,Little bit heavy and big size. Can be small.,Seems to be big out side can be little bit small/light weight,15 October 2022
4.0,Value for money,Value for money. A Descent ear buds with some good connectivity and good sound quality.There is no noise cancellation so do not fall for it.Buy it if your necessity is good music and okay-ish sound clarity with microphone / calls.Go for other products if you have more expectations like noise cancelation / clear bass sound etc..,8 October 2022
4.0,Average,"It has sound difference between left and right, Bluetooth coverage is less",12 October 2022
4.0,Nice product 👍,,17 October 2022
4.0,I am using it since last 2 years and its battery life is jst amazing at a price of 799,"Yss its bass quality is not too good but at a price of 799 boat is providing a very legit and ultimate thing that you can purchase without any hegitation  and personally i prefer this to every person who have a low budget and want tk buy earpods ,  I think this must be you first choice buddies .Loved this product since last 2 years ❤️❤️❤️❤️",1 October 2022
4.0,Best product,Easy to carry,16 October 2022
3.0,Not satisfied 😔,"These airpods are only ok for the purpose of listening to music and watching movies, not at all suitable for talking to someone on phone, I can hear but the person on the other side can't hear anything, at least I have to face this problem.",3 November 2022
4.0,Review on Product,Fine with the product but not received additional earbuds in the box as mentioned in the product things to be get with order.,11 October 2022
4.0,Good product to buy,Sound quality little low compared to other Boat bluetooth headsets,12 October 2022
4.0,Exelent,The media could not be loaded.,4 November 2022
4.0,Product is Soso.,Price is Low as per product.,Reviewed in India 🇮🇳 on 10 October 2022
3.0,"Fit is bad, design is not ergonomic.","Absolutely atrocious design. Pressing the mfb button(the only button it has) is inevitable. U will end up pressing it while trying to adjust it in your ear which, mind you, you're gonna be doing a lot of. The earphones fail to stay in the ear and the fit is bad. Sound quality is decent, nothing too great, but these are not very practical. Buying it at anything more than ₹700-800 is a bad deal.",Reviewed in India 🇮🇳 on 6 October 2022
4.0,Awesome earbuds,"It is very awesome productIt is also in budget in every men, its size is small so it is very comfortable in ears sound quality is too good 👍",Reviewed in India 🇮🇳 on 30 September 2022
4.0,Great Product By Boat.I got it at Rs.899,Great sound quality and design ...Boat products never disappoint.,Reviewed in India 🇮🇳 on 6 October 2022
4.0,Good at battery,The mic isn't so good and quality ain't worth it but it's ok at this rate,Reviewed in India 🇮🇳 on 29 September 2022
4.0,Delivery to late,Value for monnyNot best average,Reviewed in India 🇮🇳 on 10 October 2022
4.0,Good quality,Good quality sound.,Reviewed in India 🇮🇳 on 7 October 2022
4.0,Comfortable to wear,I really like these buds. They are very comfortable in my ears and I dont have to worry about it slipping out at all. That used to be a probem with my previous buds,Reviewed in India 🇮🇳 on 26 September 2022
4.0,Over all good product,Sound quality is good but bass is less,Reviewed in India 🇮🇳 on 8 October 2022
4.0,It's ossum try it,It's size is Big but okay at all,Reviewed in India 🇮🇳 on 6 October 2022
4.0,I loved this product soo much and it's very good,Thank you so much Amazon for deliver this product and this I loved the product and its everything is perfect and I loved the sound quality it's too much awesome,26 September 2022
4.0,Sound quality not good,Sound not come in right side airpod properly,5 October 2022
4.0,Yes,,10 October 2022
4.0,Nice,,8 October 2022
4.0,Good,Good,13 October 2022
3.0,Not that good of a product,"I really liked this product when I fort got it it worked for 3 months straight witness no issues at all . But then suddenly one side stopped working and then the other and then the whole main thing of the product the earphones stopped working now, I don't know that if mine was defective or something it stooped working real quick but if it was a defective one it's ok and if u are thinking of buying this GO FOR IT!! Because the time being when they worked they were really great ✌",1 October 2022
4.0,Good,Good,13 October 2022
4.0,It is a good product,I liked a product,7 October 2022
3.0,Audible not clear,"Its ok if it is just for listening to music but while making a call , the other side are not able to hear properly and the worst part is that i am not able to do any settings...",28 October 2022
4.0,Very nice 👍,In this price the product is very good 👍 am very happy to buy this boat airdopes thankyou Amazon ☺️❤️,25 September 2022
4.0,Good one,Good one,12 October 2022
4.0,Quality good bass also excellent over-all product is very good i must recommend to buy it.😍,I just love the product 😍,9 October 2022
4.0,Very nice product,"Sound quality Nice , bass quality very good and battery backup is long time.",6 October 2022
3.0,Good sound quality. Bad microphone.,"This is a good earphone for those who just want to listen to songs, watch movies etc. The microphone is really weak. You will have to shout if you want to get your message through while talking.",29 October 2022
4.0,ok ok typ h,normal h bas thk thk h,7 October 2022
4.0,Case cap is loose,"Sound quality, noise cancellation and bass all are good..But case cap is loose",6 October 2022
3.0,avarage,the product is good only on music but when it comes to calling the sound is so heavy and noises i dont like this so much don’t purchase this if you are thinking for calling purposes,7 November 2022
4.0,Good product,Noise cancellation should be added,7 October 2022
4.0,Sound quality is good,Product is good and bass also good but Charging is Not good please update charging type COrder this item delivered after 10 day very long time,25 September 2022
4.0,Good Quality,Good Quality and Fast Service,11 October 2022
3.0,"Sound is ok, good BUT...","They are cute but doesn't fit in my ears, they comes out easily i have to push them again n again in my ears which makes them painfull😔Not at all happy wid my purchase and they dont even return😏so i have no choice but to keep them😞Total waste of money plz dnt buy these👎🏻",23 October 2022
4.0,"Don't expect more, it's worth the price.",Sound quality is fine but the bass is not upto the expectation. Case is light and easy to handle.,4 October 2022
4.0,Good,NA,12 October 2022
4.0,At all the good,Ok,7 October 2022
4.0,Feel good,Good product for that money,7 October 2022
4.0,Good product,Nice,8 October 2022
4.0,Beautiful products,Very good sound and music,6 October 2022
4.0,"Good product, good sound quality","Good product,Sound quality  - goodNoise cancellation - goodBass quality  - average (in my opinion)",28 September 2022
4.0,Good portable product,Good product,3 October 2022
4.0,Mere itam wapash kyu nahi ho rahe hai,Product to bahut achha hai but mere kan me achhe she nahi run pa raha hai bar bar gir ja raha hai esh liy me wapash karna chah raha hu,24 September 2022
4.0,Nice,Very nice,3 October 2022
4.0,Value for money,Sound quality is good.,1 October 2022
3.0,Average product,This is average product. This is not the quality products at this price point. The main issue is when you click to change track it will create irritation as it will penitrate you ears.,28 October 2022
4.0,Iam unable to use on calls only music,"The media could not be loaded.
                



 After connected Bluetooth everything is fine when I get call there is no noise only",12 October 2022
4.0,Very light weight and boat quality product,"Lightweight, sound quality is good. Ofcourse the lcd display to show power percentage is a great feature. Even premium products didn't have such feature. Product plastic quality is average.",28 September 2022
4.0,Good product,Very nice sound quality,4 October 2022
4.0,Nice product. But mic low quality..,Nice product,3 October 2022
4.0,A better option for low budget buds.,It's a good supplementary product for earpodes. These low budget earpodes are quite good in terms of battery and sound.,3 October 2022
4.0,Gud product,Gud product worth for money 💰 Sound quality ok and bass ok,25 September 2022
4.0,😍💖👍,AWESOME........ 👌👏🤩,3 October 2022
4.0,Learning,"I like many things so instead talk about what i dont like, we cant talk to somebody in very slow voice as they cant hear us as there is no speaker in it, so yes difference between wireless and wired earphones. Wish these problems can be solved too so we can talk in slow voice too in wireless pods.",18 September 2022
4.0,Just purchased will review in due course after using,Noise cancelation is not very confined and bass quality also not upto mark..,25 September 2022
4.0,Okayish,"Works fine. There is no voice control and the color is not as pretty as advertised. The range is limited. Connectivity breaks up if you are 5 meters away. There is 1 year warranty, charging cable, and spare earbuds inside.",28 September 2022
3.0,Not recommended for its built quality.,boAt Airdopes are not having a good built quality and are not fitting into the wars firmly which makes them not a recommended Airdopes for regular use.,7 November 2022
4.0,Good,It is very good wort it,2 October 2022
4.0,Na,Na,4 October 2022
4.0,Best product for the price,The media could not be loaded.,26 October 2022
4.0,Battery low,Only the issue is battery it does not go above 80%,27 September 2022
4.0,Good,Good,10 October 2022
4.0,Good product at given price,"Sound is good enough, but do not expect noise cancellation in a typical Indian street. The product is good for use within home, and with limited movement. I tried using it while walking/jogging but it loses Bluetooth connectivity and even falls off from your ears. So I'm generally using it while lying on the bed listening to music or making a few calls while strolling on the terrace. The battery lasts enough for my usage of 2-3 days, and the set gets charged quickly, within 30 min-1 hour. Overall, a good product at this price range.",3 September 2022
3.0,Box,The box is not good after using almost for 6 months I am not able to charge my ear buds the box is not showing any signs,Reviewed in India 🇮🇳 on 29 October 2022
4.0,Ok,Good,Reviewed in India 🇮🇳 on 7 October 2022
3.0,Doesn't work good on calls.,When used to play music the sound was kinda low but the bass was good it is a good product if you need it for only listing songs or games. I'm a person who has to be on call most of time and many of my callers complained about not being able to hear me properly. My voice used to eco and BG was more audible then my own. I guess this product doesn't support Redmi phones.,Reviewed in India 🇮🇳 on 30 September 2022
4.0,Good at this price.,Good product but no noise cancellation.,Reviewed in India 🇮🇳 on 3 October 2022
3.0,Sound is low compared to other products,Range is less than 10 feet. No clear sound if distance increase above 10 feet.Good only for cell phone.,Reviewed in India 🇮🇳 on 8 November 2022
3.0,Nice but not as expected,When I got this I tried I felt like the voice is much lesser than the one buds of realme and not at all good for calling zero noice cancellationReturn period was too long,Reviewed in India 🇮🇳 on 20 October 2022
3.0,SUMMARISE ALL: Buy if you have a tight budget but don't expect much.,"Sound quality is good but there are few interruption when it's away from phone. Microphone quality is not quite good there is no noise cancellation in this hence you cannot talk on a call when you are out or when you are in traffic, or even when you are sitting in a quiet room, the person on other side of call can hear everything around you and believe me it's bad. Talking about Bass quality, it is not so impressive either, well what you can expect in this price range 😅",Reviewed in India 🇮🇳 on 16 September 2022
4.0,gives good quality in just 799/-,"Nice product, avoids noise cancellation",Reviewed in India 🇮🇳 on 28 September 2022
4.0,Amazing👍,Good product🥰 😍😘,Reviewed in India 🇮🇳 on 1 October 2022
4.0,It's pretty good.. I'm amaze of the sound quality and the battery..,"The media could not be loaded.
                



 I like the sound quality, and also yhe charging is fast.",Reviewed in India 🇮🇳 on 7 October 2022
4.0,Over all Good,Good quality price worthy.,29 September 2022
3.0,Service is good,Hamming sound is coming while calling I suggest strongly neck band is best,29 October 2022
4.0,Call voice not clear,,25 September 2022
3.0,50-50,It's ok for the price( i got it for  Rs.999) Am disappointed as there is a scratch on the percentage display screen. Am being fool into getting a used product👎,17 October 2022
4.0,Excellent,,27 September 2022
4.0,buget ke hisab se acha hai,,30 September 2022
4.0,Super product,Lovely product,30 September 2022
4.0,Ok,Ok,26 September 2022
4.0,Good,Like,1 October 2022
4.0,Nice quality,"The media could not be loaded.
                



 👍🙂 nice product sound good",13 October 2022
4.0,It's worth for the cost .,,29 September 2022
4.0,Nice product,Must buy product,29 September 2022
4.0,Good,Like it,29 September 2022
4.0,No notice cancellation others things are good,No notice cancellation others things are good,27 September 2022
4.0,Good stuff,"The media could not be loaded.
                



 Just got deliver.. Let's see how long it last",18 October 2022
4.0,nice product,nice product,29 September 2022
3.0,Stopped working,"Stopped working within one month use,worst boat product till now I had ever used",6 November 2022
4.0,Nice,Overall Good product at rate.but receaver is slightly weak.,24 September 2022
4.0,Value Product,nice product,30 September 2022
4.0,Value for money,The sound quality is great. One charge can last really long.My only problem is that you need to talk louder if you get a call while wearing this. It is expected as there is not mic like in earphones but that was a minor inconvenience.,15 September 2022
3.0,Volume needs to be improved,Need to improve their bass and volume of the sound. Even if I play in 10 I hear like playing in 4. This needs to be improved,27 October 2022
4.0,Best in price range,"Overall a v.gud earbuds. Battery backup is good, i only charge once a week or 10 days. Only issue is mic receiver v need be loud enough while on a call.",20 September 2022
3.0,Boat 121v2,Good but two thing I don't likeIt comes with micro usb type not with type c cable next one one is button type sensors not touch sensor thats it over all good for 999 price and noice cancellation is ok and buds will play only 3 hours ...,6 October 2022
4.0,It's a worthy buy,Very satisfied to get this earphone in this range. !!Thanks Amazon for suchba lovely productDelivery was prompt,15 September 2022
3.0,Average sound with good noise cancellation and great battery,Sound is not that great. You can easily differentiate performance from a good headphones. Noise cancellation is good. I have used it in bus and trains. Problem faced by me was very minimal. Battery is the main usp of this device. Packaging and build quality is also good.,13 October 2022
4.0,Value for money!,Sound quality - 5/5Noise cancellation - 5/5Bass quality 5/5Battery backup 5/5Mic 1/5if you're also using/buying to listen to music it's worth all bucks but for calls I'd not suggest you to buy this.,19 September 2022
4.0,Good proxuct,Nice,24 September 2022
3.0,Right side bud having noise issue,Right side bud having noise issue,6 November 2022
4.0,Bass is low and even the volume is not satisfactory.,Volume should have been more.,2 October 2022
5.0,Good airdope in a very low budget,Writing review after 3 months of regular usage.1. Fairly good sound quality in this price range.2. Bass boosting quality is also good.3. Notice cancellation is really great. Any sound below 120dB (sound of an aeroplane) is blocked.4. The case takes around 2 and half hours to charge from 0% to 100%.5. Each airdope has a runtime of 3 hours or more.6. The case can charge the airdopes for atleast 4 times to 100%.7. Do not use the aordopes while driving or walking on road. It has a great noise cancellation and you wont be able to hear the minimum noisenof traffic which can lead to accident.,27 October 2022
3.0,Mic 🎤quality is not good,It's mic quality is not good,Reviewed in India 🇮🇳 on 6 November 2022
4.0,Good Product,"The media could not be loaded.
                



 Sound quality goodNoise quality goodBass quality good 👍",Reviewed in India 🇮🇳 on 3 October 2022
3.0,Not for long usage.,Budget friendly product. Only disadvantage is that the volume is too low to understand.  Ppl at the other end is unable to hear u properly.  Noise cancelation is good but do not use it for too long since it'll give a headache.,Reviewed in India 🇮🇳 on 13 October 2022
3.0,Good earphone with very degradable battery backup,Sound quality and connection  stuff are good in this earphone but battery back up is pretty poor and it’s gonna degrade further upon using,Reviewed in India 🇮🇳 on 25 October 2022
4.0,Good,I like this sound quality is good .i hope this is original.,Reviewed in India 🇮🇳 on 20 September 2022
3.0,Eco in sound,So much eco in sound,Reviewed in India 🇮🇳 on 5 November 2022
3.0,Sound,Very good product,Reviewed in India 🇮🇳 on 31 October 2022
3.0,Need to improve ear grip position from falling.,To hear music,Reviewed in India 🇮🇳 on 1 November 2022
3.0,Nice,"Good clarity,",Reviewed in India 🇮🇳 on 1 November 2022
3.0,It's an average product,It's average,Reviewed in India 🇮🇳 on 2 November 2022
3.0,Need lots of improvement to survive in market,Need lots of improvement,Reviewed in India 🇮🇳 on 6 November 2022
3.0,Quality,It's not worth,Reviewed in India 🇮🇳 on 7 November 2022
3.0,Avarage....I don't like it,Average quality product.,Reviewed in India 🇮🇳 on 6 November 2022
3.0,Voice calling error,This product is fine for hearing music and online classes.  and not working properly for voice calling.,Reviewed in India 🇮🇳 on 28 October 2022
3.0,Why it is not coming with C type charging port,Good,Reviewed in India 🇮🇳 on 2 November 2022
3.0,प्रोडक्ट अच्छा है,Nice,Reviewed in India 🇮🇳 on 30 October 2022
3.0,Boat 121,Some time music  is not clear and audio clarity is not proper while phone call opposite people can’t able to hear they are saying that your voice is very low talking like your in well,Reviewed in India 🇮🇳 on 15 October 2022
4.0,Very good product in cheapest rate.,Nice product sound quality is more than good battery capacity is ok specially charging case is too sexy in look.,Reviewed in India 🇮🇳 on 8 September 2022
4.0,Battery,Good...,Reviewed in India 🇮🇳 on 19 September 2022
4.0,Good quality at 1k range,Sound quality or good but when you called somebody background noise is too much.,Reviewed in India 🇮🇳 on 16 September 2022
4.0,Super,Charge and conctivity is super,Reviewed in India 🇮🇳 on 15 September 2022
4.0,Best,Best,Reviewed in India 🇮🇳 on 17 September 2022
4.0,Simply awesome,"One dislike sometimes it sounds very low, but after restarting works normally but overall a good product",Reviewed in India 🇮🇳 on 23 September 2022
3.0,It has good fit in ears due to its light.,"Every thing is good.but sometimes is loses connection,after putting out of the case .",Reviewed in India 🇮🇳 on 24 October 2022
3.0,Everything is nice except wire.,"Charging wire not working since we received, we are using our phone charging wire.",Reviewed in India 🇮🇳 on 27 October 2022
3.0,Okay product only,Bass is very poor. Okay for office call but not for music lover,Reviewed in India 🇮🇳 on 24 October 2022
5.0,BEST TO BUY FOR CALLING/DAILY USE,"I have used Ptron, Noise, Mivi etc brands for airdopes, but I found Boat to be best among all of them.Advantages:Superb mike quality for calling.(I didn't found in any of the brands mentioned above)Sound quality and Noise cancellation is amazing, if you r not a pro gammer and all and want it for daily use or office work or routine songs then go for it. They are best for you.Battery backup is average. one charge can last you for 2 days. It is good for me I m satisfied with this.The design feature is my personal favorite, actually I felt it difficult to put in an out the earpods from box for that long design. but it is more wider and have enough space in box so easier to put in and out.No sensors, no tension of unitended calls, music etc. easy to use.Go for it if you r looking for longer term use and easy use.",Reviewed in India 🇮🇳 on 8 October 2022
3.0,Good for listening to music only not good for calls.,When on call the other person gets to hear the sound as if I'm calling from beneath the ground. It doesn't eco. It sounds like I'm calling from some muffled-up place.,Reviewed in India 🇮🇳 on 14 October 2022
4.0,Super quality sound quality awesome,"The media could not be loaded.
                



 I like super sound quality",Reviewed in India 🇮🇳 on 6 October 2022
4.0,Good,"The media could not be loaded.
                



 It's really good in this affordable price with well-known brands sound quality is also good not great but I garanty it no other company will sell this quality of product in this price",Reviewed in India 🇮🇳 on 11 September 2022
3.0,This is very big,I don't like the design or not worth of money,Reviewed in India 🇮🇳 on 24 October 2022
3.0,Does not have volume button,Does not have volume button. M not happy about this,Reviewed in India 🇮🇳 on 20 October 2022
4.0,Point to note:,Good product in this range. All together average product.,Reviewed in India 🇮🇳 on 21 September 2022
4.0,Great Product,Amazing ProductNice Audio QualityWorth itIf wants to buy in this range then go for it....👍,Reviewed in India 🇮🇳 on 10 September 2022
4.0,Diductiv fold,"The media could not be loaded.
                



 No",Reviewed in India 🇮🇳 on 8 October 2022
4.0,Good,"The media could not be loaded.
                



 I felt good in the earlier days when I bought this product 2 weeks back.Bass is good.Better charging life.But recently i used the pods without charging since 2 days and still it was showing the same 88 percentage charging in the case as before which was shown in the vedio.Please solve my issue via ur reply.Thank you",Reviewed in India 🇮🇳 on 29 August 2022
3.0,Might be good...but need to imporve,"The product is good...hold ears ,but need will slide out after sometime.. Noise cancellation is not just there no noise cancellation is available..!! Overal a good normal gadget for within budget...got them in great Amazon festival sale...good buy..!! Should use and see the potential after some period of time.",Reviewed in India 🇮🇳 on 10 October 2022
3.0,Built quality is good..but functioning not good,Noise cancellation is very bad .... bass poor Bluetooth connectivity issue,Reviewed in India 🇮🇳 on 20 October 2022
